Survey Name,DS_0494431_00-07-30-026-17W4-0.csv,,,,,,,,
Final Survey,Y,,,,,,,,
Well Licensee,Mainland Oil,,,,,,,,
Survey Company,Maine Drilling,,,,,,,,
Licence Number,494431,,,,,,,,
Well Name,N40 Hz Messford 7-30-26-17W4,,,,,,,,
Slanted Drilling,Y or N,,,,,,,,
DLS Surface Hole Location,07-29-026-17W4,,,,,,,,
NAD 83 Surface Lat,51.247014,,,,,,,,
NAD 83 Surface Long,-112.365038,,,,,,,,
Ground Level Elevation,870.22,,,,,,,,
Kelly Bushing Elevation,874.62,,,,,,,,
UWI (D59:at the time of submission),00/07-30-026-17W4/00,,,,,,,,
Final Survey Date (YYYY-MM-DD),2021-10-06,,,,,,,,
North Reference,TRUE,,,,,,,,
Universal Transverse Mercator Zone,11N or 12N,,,,,,,,
Survey Calculation Method,Minimum Curvature,,,,,,,,
Units of Measurement,Meters & Degrees,,,,,,,,
Convergence Angle,0.33,,,,,,,,
Magnetic Model,HDGM_FILE,,,,,,,,
Magnetic Model Date (YYYY-MM-DD),2019-04-01,,,,,,,,
Vertical Section Azimuth,273.95,,,,,,,,
Declination,13.11,,,,,,,,
,,,,,,,,,
MD,Inclination,Azimuth,True Vertical Depth (TVD),TVDSS,Vert Sect,N+/S-,E+/W-,Survey Tool,Annotations
[m],[°] or deg,[°] or deg,[m],[m],[m],[m],[m],Type,
2825.24,90.15,305.79,2381.78,-1541.86,2381.78,266.47,-483.92,MWD+HDGM (2),    
2844.6,88.78,305.26,2381.96,-1542.04,2381.96,278.38,-499.19,MWD+HDGM (2),    
2864.01,89.14,305.04,2382.32,-1542.4,2382.32,290.21,-514.57,MWD+HDGM (2),    
2883.43,88.97,306.36,2382.64,-1542.72,2382.64,302.2,-529.85,MWD+HDGM (2),    
2902.78,88.98,307.19,2382.98,-1543.06,2382.98,314.43,-544.84,MWD+HDGM (2),    
2922.14,89.75,307.1,2383.2,-1543.28,2383.2,326.76,-559.76,MWD+HDGM (2),    
2941.52,90.7,306.62,2383.12,-1543.2,2383.12,339.03,-574.76,MWD+HDGM (2),    
2960.9,91.2,307.67,2382.8,-1542.88,2382.8,351.37,-589.7,MWD+HDGM (2),    
2980.27,90.31,309.13,2382.55,-1542.63,2382.55,364.03,-604.35,MWD+HDGM (2),    
2999.66,90.37,309.26,2382.43,-1542.51,2382.43,376.91,-618.85,MWD+HDGM (2),    
3019.06,90.65,309.43,2382.26,-1542.34,2382.26,389.84,-633.32,MWD+HDGM (2),    
3038.48,91.24,309.04,2381.94,-1542.02,2381.94,402.74,-647.82,MWD+HDGM (2),    
3057.82,91.21,308.42,2381.52,-1541.6,2381.52,415.47,-662.38,MWD+HDGM (2),    
3077.2,91.45,307.46,2381.07,-1541.15,2381.07,428.02,-677.14,MWD+HDGM (2),    
3096.55,91.63,307.72,2380.55,-1540.63,2380.55,440.45,-691.96,MWD+HDGM (2),    
3116,90.82,307.5,2380.14,-1540.22,2380.14,452.96,-706.84,MWD+HDGM (2),    
3135.38,91.01,307.41,2379.83,-1539.91,2379.83,465.39,-721.71,MWD+HDGM (2),    
3154.78,89.76,307.89,2379.7,-1539.78,2379.7,477.88,-736.56,MWD+HDGM (2),    
3174.13,89.8,307.89,2379.77,-1539.85,2379.77,490.39,-751.31,MWD+HDGM (2),    
3193.53,89.08,306.53,2379.96,-1540.04,2379.96,502.77,-766.25,MWD+HDGM (2),    
3212.92,90.1,306.75,2380.1,-1540.18,2380.1,514.99,-781.31,MWD+HDGM (2),    
3232.31,89.94,306.31,2380.09,-1540.17,2380.09,527.18,-796.38,MWD+HDGM (2),    
3251.69,88.97,306.44,2380.28,-1540.36,2380.28,539.32,-811.49,MWD+HDGM (2),    
3271.07,90.35,306.8,2380.39,-1540.47,2380.39,551.53,-826.54,MWD+HDGM (2),    
3290.42,91.02,306.84,2380.16,-1540.24,2380.16,563.77,-841.52,MWD+HDGM (2),    
3309.8,89.9,307.06,2380.01,-1540.09,2380.01,576.06,-856.5,MWD+HDGM (2),    
3329.22,91.29,307.02,2379.81,-1539.89,2379.81,588.41,-871.49,MWD+HDGM (2),    
3348.61,91.37,306.8,2379.36,-1539.44,2379.36,600.69,-886.49,MWD+HDGM (2),    
3368,89.72,305.96,2379.17,-1539.25,2379.17,612.84,-901.6,MWD+HDGM (2),    
3387.4,88.82,305.7,2379.42,-1539.5,2379.42,624.86,-916.83,MWD+HDGM (2),    
3406.8,89.36,305.61,2379.73,-1539.81,2379.73,636.82,-932.1,MWD+HDGM (2),    
3426.15,90.74,305.7,2379.71,-1539.79,2379.71,648.75,-947.33,MWD+HDGM (2),    
3445.56,91,305.17,2379.41,-1539.49,2379.41,660.66,-962.65,MWD+HDGM (2),    
3464.95,89.48,304.6,2379.33,-1539.41,2379.33,672.42,-978.07,MWD+HDGM (2),    
3484.32,89.92,304.2,2379.43,-1539.51,2379.43,684.03,-993.58,MWD+HDGM (2),    
